MovieID,Title,KoreanTitle,Plot,ReleaseYear,RunningTime,GradeID,GradeInKoreaID,Poster,ReleaseDateInKorea,BoxOfficeWWGross,BoxOfficeUSGross,Budget,OriginalAuthor,OriginalSource
104,"Anna Karenina","안나 카레리나","In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.",2012,129,1,NULL,AnnaKarenina.jpg,2013-03-21,68929150,12816367,0,NULL,NULL
105,Skyfall,"007 스카이폴","M은 임무 완수를 위해 제임스 본드를 포기하고, 살아온 제임스 본드는 여전히 조국에 충성스러운지 테스트 받는다. M과 관련된 테러리스트에 의해 MI6가 공격당하고, 007은 테러를 막고 M을 지키려한다.",2012,143,2,3,Skyfall.jpg,2012-10-26,1108561013,304360277,20000000,NULL,NULL
106,"Mirror Mirror",백설공주,"An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.",2012,106,2,NULL,MirrorMirror.jpg,2012-05-03,183018522,64935167,85000000,NULL,NULL
107,"Snow White and the Huntsman","스노우 화이트 앤 더 헌츠맨","In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.",2012,127,2,2,SnowWhiteandtheHuntsman.jpg,2012-05-30,396592829,155332381,170000000,NULL,NULL
108,"The Avengers",어벤저스,"로키와 외계 군대가 인류를 지배하기 위해 지구를 침략하자, 지구에서 가장 위대한 영웅들이 이를 막기 위해 팀을 결성한다.",2012,143,2,2,TheAvengers.jpg,2012-04-26,1518594910,623357910,220000000,NULL,NULL
109,"The Hobbit: An Unexpected Journey","호빗: 뜻밖의 여정","호빗 빌보는 뜻밖의 손님 간달프와 12명의 난쟁이들에 이끌려 사악한 용 스마우그에게 빼앗긴 난쟁이들의 고향과 보물을 되찾기 위한 모험을 떠나게 된다.",2012,169,2,2,TheHobbitAnUnexpectedJourney.jpg,2012-12-13,1017003568,303003568,250000000,NULL,NULL
110,Prometheus,프로메테우스,"Following clues to the origin of mankind a team journey across the universe and find a structure on a distant planet containing a monolithic statue of a humanoid head and stone cylinders of alien blood but they soon find they are not alone.",2012,124,1,4,Prometheus.jpg,2012-06-06,403354469,126477084,130000000,NULL,NULL
111,Hitchcock,히치콕,"A love story between influential filmmaker Alfred Hitchcock and wife Alma Reville during the filming of Psycho (1960) in 1959.",2012,98,2,NULL,Hitchcock.jpg,NULL,23570541,6008677,0,NULL,NULL
112,"The Artist",아티스트,"A silent movie star meets a young dancer, but the arrival of talking pictures sends their careers in opposite directions.",2011,100,2,NULL,TheArtist.jpg,2012-02-16,133432856,44671682,15000000,NULL,NULL
113,"The Tree of Life","트리 오브 라이프","The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents‘ conflicting teachings.",2011,139,2,NULL,TheTreeofLife.jpg,NULL,54303319,13303319,32000000,NULL,NULL
114,"The Descendants",디센던트,"A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.",2011,115,1,NULL,TheDescendants.jpg,2012-02-16,55247881,31847881,20000000,NULL,NULL
115,"Extremely Loud & Incredibly Close","엄청나게 시끄럽고 믿을 수 없게 가까운","A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001.",2011,129,2,NULL,ExtremelyLoudIncrediblyClose.jpg,2011-10-02,55247881,31847881,0,NULL,NULL
116,"The Help",헬프,"1960 년대 시민권 운동에 참여중인 한 작가는 자신이 일하는 백인 가정에 대한 아프리카 계 미국인 가정부의 관점과 매일 겪는 고난을 자세히 설명하는 책을 쓰기로 결정한다.",2011,146,2,1,TheHelp.jpg,2011-11-03,216639112,169708112,25000000,NULL,NULL
117,Hugo,휴고,"Set in 1930s Paris, an orphan who lives in the walls of a train station is wrapped up in a mystery involving his late father and an automaton.",2011,126,3,NULL,Hugo.jpg,NULL,185770160,73864507,170000000,NULL,NULL
118,"Midnight in Paris","미드나잇 인 파리","While on a trip to Paris with his fiancee‘s family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",2011,94,2,NULL,MidnightinParis.jpg,NULL,151119219,56817045,17000000,NULL,NULL
119,Moneyball,머니볼,"오클랜드 A의 빌리 빈 총괄 매니저는 컴퓨터 분석을 통해 새로운 선수를 확보함으로써 적은 예산으로 야구 팀을 구성하려는 새로운 방법을 도입한다.",2011,133,2,2,MoneyBall.jpg,2011-11-17,110206216,75605492,50000000,NULL,NULL
120,"War Horse","워 호스","어린 알버트는 말 조이가 기병대에 팔린 후, 1차 대전에 참전하기 위해 입대한다. 전쟁은 계속되고 알버트는 영국 밖의 최전전에서 복무하며 조이를 찾는다.",2011,146,2,2,WarHorse.jpg,2012-02-09,177584879,79884879,66000000,NULL,NULL
121,"A Better Life",이민자,"A gardener in East L.A. struggles to keep his son away from gangs and immigration agents while trying to give his son the opportunities he never had.",2011,98,2,NULL,ABetterLife.jpg,2012-04-12,1759252,1759252,10000000,NULL,NULL
122,"Tinker Tailor Soldier Spy","팅커 테일러 솔저 스파이","In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet agent within MI6.",2011,127,2,NULL,TinkerTailorSoldierSpy.jpg,2012-02-09,80630608,24149393,20000000,NULL,NULL
123,"The Iron Lady","철의 여인","An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life, from girlhood to British prime minister, intervene.",2011,100,2,2,TheIronLady.jpg,2012-02-23,114956699,30017992,13000000,NULL,NULL
124,"Albert Nobbs","앨버트 놉스","Albert Nobbs struggles to survive in late 19th century Ireland, where women aren‘t encouraged to be independent. Posing as a man, so she can work as a butler in Dublin‘s most posh hotel, Albert meets a handsome painter and looks to escape the lie she has been living.",2011,113,1,NULL,AlbertNobbs.jpg,2014-08-12,5634828,3014696,8000000,NULL,NULL
125,"The Girl with the Dragon Tattoo","밀레니엄: 여자를 증오한 남자들","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",2011,158,1,NULL,TheGirlwiththeDragonTattoo.jpg,2012-01-11,232617430,102515793,90000000,NULL,NULL
126,"My Week with Marilyn","마릴린 먼로와 함께한 일주일","Colin Clark, an employee of Sir Laurence Olivier‘s, documents the tense interaction between Olivier and Marilyn Monroe during the production of The Prince and the Showgirl (1957).",2011,99,1,NULL,MyWeekwithMarilyn.jpg,2012-02-29,35057696,14600347,6400000,NULL,NULL
127,Beginners,비기너스,"A young man is rocked by two announcements from his elderly father: that he has terminal cancer, and that he has a young male lover.",2010,105,1,NULL,Beginners.jpg,2011-11-10,14311701,5790894,3200000,NULL,NULL
128,Warrior,워리어,"The youngest son of an alcoholic former boxer returns home, where he‘s trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision corner with his older brother.",2011,140,2,NULL,Warrior.jpg,2011-11-02,23057115,13657115,25000000,NULL,NULL
129,Bridesmaids,"내 여자친구의 결혼식","Competition between the maid of honor and a bridesmaid, over who is the bride‘s best friend, threatens to upend the life of an out-of-work pastry chef.",2011,125,1,NULL,Bridesmaids.jpg,2011-08-25,288383523,169106725,32500000,NULL,NULL
130,"Margin Call","마진 콜: 24시간, 조작된 진실","Follows the key people at an investment bank, over a 24-hour period, during the early stages of the financial crisis.",2011,107,1,NULL,MarginCall.jpg,NULL,19504039,5354039,3500000,NULL,NULL
131,"A Separation","씨민과 나데르의 별거","A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer‘s disease.",2011,123,2,NULL,ASeparation.jpg,NULL,19899055,7099055,500000,NULL,NULL
132,"The Ides of March","킹 메이커","An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.",2011,101,1,NULL,TheIdesofMarch.jpg,2012-04-19,75993061,40962534,12000000,NULL,NULL
133,"Harry Potter and the Deathly Hallows: Part 2","해리 포터와 죽음의 성물 2","해리, 론, 헤르미온느는 볼드모트의 호크룩스를 찾아 파괴하기 위해 호그와트에서의 마지막 전투를 시작한다.",2011,130,2,1,HarryPotterandtheDeathlyHallowsPart2.jpg,2011-07-13,1341511219,381011219,125000000,NULL,NULL
134,Anonymous,NULL,"The theory that it was in fact Edward De Vere, Earl of Oxford, who penned Shakespeare‘s plays. Set against the backdrop of the succession of Queen Elizabeth I and the Essex rebellion against her.",2011,130,2,NULL,Anonymous.jpg,NULL,15395087,4463292,30000000,NULL,NULL
135,"Jane Eyre","제인 에어","A mousy governess who softens the heart of her employer soon discovers that he‘s hiding a terrible secret.",2011,120,2,NULL,JaneEyre.jpg,NULL,34710627,11242660,15000000,NULL,NULL
136,W.E.,W.E,"The affair between King Edward VIII and American divorcee Wallis Simpson, and a contemporary romance between a married woman and a Russian security guard.",2011,119,1,NULL,WE.jpg,1900-01-01,868439,583455,15000000,NULL,NULL
137,"Transformers: Dark of the Moon","트랜스포머 3","오토봇은 달의 뒷면에 사이버트론 우주선이 숨겨져 있는 것을 알게되고, 우주선을 확보하고 그 비밀을 풀기위해 디셉티콘과 싸우게 된다.",2011,154,2,2,TransformersDarkoftheMoon.jpg,2011-06-29,1123794079,352390543,195000000,NULL,NULL
138,Drive,드라이브,"A mysterious Hollywood stuntman, mechanic and getaway driver lands himself in trouble when he helps out his neighbor.",2011,100,1,NULL,Drive.jpg,2011-05-03,76175166,35060689,15000000,NULL,NULL
139,"Real Steel","리얼 스틸","가까운 미래, 로봇 격투기가 최고의 스포츠가 된다. 한 몰락해가는 프로모터가 버려진 로봇사이에서 챔피언이 될 로봇을 찾았다고 생각한다.",2011,127,2,2,RealSteel.jpg,2011-10-12,299268508,85468508,110000000,NULL,NULL
140,"Rise of the Planet of the Apes","혹성탈출: 진화의 시작","A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.",2011,105,2,2,RiseofthePlanetoftheApes.jpg,2011-08-17,481801049,176760185,93000000,NULL,NULL
141,"The Muppets","머펫 대소동","A Muppet fanatic with some help from his two human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.",2011,103,3,NULL,TheMuppets.jpg,2012-05-03,165184237,88631237,45000000,NULL,NULL
142,Rio,리오,"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with this bird of his dreams.",2011,96,4,NULL,Rio.jpg,NULL,484635760,143619809,90000000,NULL,NULL
143,"The Adventures of Tintin","틴틴: 유니콘호의 비밀","Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock‘s ancestor.",2011,107,3,NULL,TheAdventuresofTintin.jpg,NULL,373993951,77591831,130000000,NULL,NULL
144,"The King‘s Speech","킹스 스피치","The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.",2010,118,1,NULL,TheKingsSpeech.jpg,2011-03-17,414211549,138797449,15000000,NULL,NULL
145,"127 Hours",127시간,"2003년 미국 유타주에서 익스트림 스포츠를 즐기던 아론은 암벽에 떨어져 팔이 짓눌려 고립된다. 그가 가진 것은 산악용 로프와 칼, 그리고 물 한병이 전부이고, 외부로 연락할 방법은 없다.",2010,94,1,3,127hours.jpg,2011-02-17,60738797,18335230,18000000,NULL,NULL
146,"Black Swan","블랙 스완","A ballet dancer wins the lead in "Swan Lake" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.",2010,108,1,NULL,BlackSwan.jpg,2011-02-14,329398046,106954678,13000000,NULL,NULL
147,Inception,인셉션,"꿈을 공유하는 기술을 이용해 비밀을 훔치는 도둑들이 한 CEO의 의식에 침투해 생각을 심어야 하는 임무를 맡게 된다.",2010,148,2,2,Inception.jpg,2010-07-21,829895144,292576195,160000000,NULL,NULL
148,"The Kids Are All Right","에브리바디 올라잇","Two children conceived by artificial insemination bring their father into their family life.",2010,106,1,NULL,TheKidsAreAllRight.jpg,2010-09-02,34705850,20811365,4000000,NULL,NULL
